incident_id,alignment,numEvent
INC0000087,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000088,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000089,[M]N;[S]A;[L]A;[L]A;[L]A;[S]A;[S]W;[L]W;[L]W;[S]R;[S]C;,10
INC0000092,[M]N;[L]A;[S]A;[S]A;[S]R;[S]C;,5
INC0000093,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000094,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000098,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000099,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000100,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000101,[L]N;[S]N;[L]A;[S]A;[S]A;[S]R;[S]C;,7
INC0000102,[L]N;[S]N;[L]W;[L]W;[L]W;[L]W;[L]A;[L]A;[L]A;[L]A;[S]A;[S]A;[S]W;[L]W;[L]W;[L]R;[L]A;[S]R;[S]C;,19
INC0000103,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000104,[L]N;[S]N;[L]A;[S]A;[S]A;[S]R;[S]C;,7
INC0000105,[S]N;[L]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,8
INC0000110,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000111,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000112,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000113,[S]N;[S]A;[S]A;[S]R;[S]C;,5
INC0000114,[L]N;[S]N;[L]N;[L]N;[L]W;[M]A;[L]W;[S]W;[S]R;[S]C;,9
INC0000115,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000116,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000119,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000121,[M]N;[M]A;[S]A;[S]R;[S]C;,3
INC0000122,[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,5
INC0000123,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000124,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000125,[L]N;[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,7
INC0000126,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000128,[L]N;[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,7
INC0000129,[S]N;[M]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,13
INC0000130,[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,6
INC0000131,[M]N;[S]A;[S]W;[S]R;[S]C;,4
INC0000132,[S]N;[L]N;[M]A;[L]N;[S]A;[S]R;[S]C;,6
INC0000134,[S]N;[L]N;[M]A;[S]A;[S]R;[S]C;,5
INC0000135,[M]N;[L]A;[S]A;[L]A;[L]A;[S]A;[S]R;[L]R;[S]C;,8
INC0000137,[S]N;[M]A;[M]W;[S]R;[L]N;[S]C;,4
INC0000139,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000140,[M]N;[S]A;[L]A;[L]A;[S]A;[L]A;[S]R;[S]C;,7
INC0000141,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000146,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000147,[M]N;[S]A;[L]A;[L]A;[S]A;[L]A;[S]R;[S]C;,7
INC0000148,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000149,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000152,[S]N;[M]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000153,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000155,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000156,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000158,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000159,[L]N;[L]N;[S]N;[M]A;[M]W;[S]R;[L]R;[S]C;,6
INC0000160,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000161,[L]N;[L]N;[S]N;[L]N;[L]N;[L]N;[L]N;[M]A;[S]W;[L]W;[S]R;[S]C;,11
INC0000164,[S]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,7
INC0000166,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000167,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000168,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000169,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000171,[L]N;[L]N;[S]N;[L]W;[M]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]W;[L]W;[S]R;[S]C;,14
INC0000172,[S]N;[L]N;[L]N;[S]A;[L]A;[S]A;[S]W;[L]W;[S]R;[S]C;,10
INC0000173,[L]N;[S]N;[S]A;[L]W;[L]W;[S]W;[S]R;[S]C;,8
INC0000174,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000176,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000178,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000179,[M]N;[M]A;[S]A;[S]R;[S]C;,3
INC0000192,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000193,[S]N;[S]A;[L]A;[S]A;[S]R;[S]C;,6
INC0000194,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000195,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000197,[S]N;[L]N;[L]N;[L]N;[L]A;[L]A;[L]W;[L]W;[L]A;[L]A;[L]A;[L]A;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[S]A;[S]W;[L]A;[S]R;[S]C;,26
INC0000199,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000204,[S]N;[M]A;[M]W;[L]R;[S]R;[S]C;,4
INC0000207,[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,5
INC0000211,[M]N;[L]A;[S]A;[S]A;[S]R;[S]C;,5
INC0000213,[M]N;[M]A;[S]A;[S]R;[S]C;,3
INC0000217,[L]N;[S]N;[L]N;[L]N;[M]A;[S]W;[L]W;[S]R;[S]C;,8
INC0000218,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[L]R;[S]C;,7
INC0000220,[M]N;[S]A;[L]A;[S]A;[S]W;[S]R;[S]C;,6
INC0000221,[S]N;[L]N;[M]A;[S]A;[S]R;[S]C;,5
INC0000223,[S]N;[L]N;[S]A;[S]A;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,10
INC0000228,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000230,[S]N;[S]A;[L]W;[L]W;[S]A;[S]W;[L]W;[L]A;[S]R;[S]C;,10
INC0000232,[L]N;[L]N;[S]N;[L]N;[L]N;[L]W;[L]W;[L]W;[L]W;[L]W;[M]A;[S]W;[S]R;[S]C;,13
INC0000236,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000237,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000246,[S]N;[S]A;[S]A;[L]W;[S]W;[L]A;[L]A;[S]R;[S]C;,9
INC0000250,[L]N;[S]N;[L]N;[L]A;[S]A;[S]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[L]R;[S]C;,17
INC0000253,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000257,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000259,[S]N;[L]A;[L]A;[S]A;[S]A;[S]W;[L]A;[L]A;[S]R;[S]C;,10
INC0000260,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000261,[M]N;[L]A;[L]A;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,8
INC0000262,[M]N;[L]A;[L]A;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,8
INC0000265,[S]N;[L]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,8
INC0000266,[M]N;[S]A;[S]A;[L]W;[L]W;[L]W;[L]W;[S]W;[L]A;[L]A;[L]A;[S]R;[S]C;,12
INC0000268,[S]N;[L]N;[L]W;[L]A;[L]A;[L]A;[L]W;[S]A;[S]A;[L]W;[S]W;[L]W;[L]W;[L]W;[L]A;[L]A;[S]R;[S]C;,18
INC0000269,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000272,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]R;[S]C;,12
INC0000273,[M]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,6
INC0000278,[M]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,6
INC0000279,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000280,[L]N;[L]N;[S]N;[L]N;[L]N;[S]A;[L]W;[L]W;[S]A;[L]A;[S]R;[S]C;,12
INC0000282,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000283,[M]N;[L]A;[L]A;[L]A;[L]A;[S]A;[L]A;[S]A;[S]R;[S]C;,9
INC0000284,[S]N;[S]A;[L]A;[S]A;[S]R;[S]C;,6
INC0000285,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000286,[M]N;[L]A;[S]A;[S]A;[S]R;[S]C;,5
INC0000290,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000292,[S]N;[L]N;[L]N;[S]A;[L]A;[L]A;[L]A;[S]A;[S]R;[S]C;,10
INC0000294,[S]N;[L]N;[L]N;[L]W;[L]W;[L]W;[L]W;[L]R;[L]A;[S]A;[S]A;[L]W;[L]W;[L]W;[L]W;[S]W;[L]A;[L]A;[S]R;[L]R;[S]C;,21
INC0000295,[S]N;[M]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000297,[L]N;[S]N;[M]A;[S]W;[L]W;[S]R;[S]C;,6
INC0000298,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000301,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000302,[S]N;[S]A;[L]A;[L]A;[S]A;[L]W;[L]W;[S]W;[S]R;[S]C;,10
INC0000303,[M]N;[S]A;[S]A;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,8
INC0000304,[S]N;[M]A;[S]W;[L]W;[L]W;[S]R;[S]C;,6
INC0000305,[S]N;[L]N;[L]N;[L]N;[L]W;[L]W;[M]A;[L]W;[S]W;[S]R;[S]C;,10
INC0000306,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000307,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000310,[M]N;[S]A;[S]W;[S]R;[S]C;,4
INC0000315,[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,6
INC0000317,[M]N;[S]A;[S]A;[L]W;[S]W;[S]R;[S]C;,6
INC0000318,[M]N;[S]A;[S]W;[L]W;[L]W;[S]R;[S]C;,6
INC0000319,[L]N;[S]N;[M]A;[S]W;[S]R;[S]C;,5
INC0000323,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000324,[M]N;[S]A;[S]A;[S]W;[S]R;[S]C;,5
INC0000325,[M]N;[S]A;[S]W;[S]R;[S]C;,4
INC0000329,[M]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[S]W;[L]W;[L]W;[S]R;[S]C;,16
INC0000330,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000332,[S]N;[L]W;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[S]A;[L]A;[L]W;[S]W;[S]R;[S]C;,17
INC0000333,[M]N;[M]A;[S]W;[S]R;[S]C;,3
INC0000336,[M]N;[M]A;[S]W;[L]W;[S]R;[S]C;,4
INC0000337,[M]N;[M]A;[S]W;[S]R;[S]C;,3
INC0000338,[L]W;[M]N;[M]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000339,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000341,[M]N;[L]W;[L]A;[S]A;[S]A;[S]W;[L]W;[S]R;[S]C;,8
INC0000343,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000345,[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[M]A;[M]W;[S]R;[S]C;,9
INC0000346,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000347,[L]N;[S]N;[M]A;[S]W;[S]R;[S]C;,5
INC0000348,[M]N;[S]A;[S]A;[L]W;[S]W;[L]A;[S]R;[S]C;,7
INC0000351,[M]N;[S]A;[S]W;[S]R;[S]C;,4
INC0000352,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000353,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000355,[S]N;[L]W;[M]A;[S]A;[S]R;[S]C;,5
INC0000356,[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[M]A;[M]W;[S]R;[S]C;,9
INC0000357,[M]N;[S]A;[S]A;[L]W;[S]W;[S]R;[S]C;,6
INC0000358,[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;[L]C;,5
INC0000359,[M]N;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,9
INC0000361,[S]N;[S]A;[S]A;[L]W;[L]W;[S]W;[S]R;[S]C;,8
INC0000363,[M]N;[S]A;[S]A;[S]W;[S]R;[S]C;,5
INC0000369,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000370,[S]N;[S]A;[S]A;[L]R;[S]R;[S]C;,6
INC0000371,[M]N;[S]A;[S]A;[L]W;[S]W;[S]R;[S]C;,6
INC0000372,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000373,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000374,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000375,[M]N;[S]A;[S]W;[L]W;[L]W;[L]W;[S]R;[S]C;,7
INC0000376,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000377,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000378,[M]N;[S]A;[S]W;[S]R;[S]C;,4
INC0000379,[M]N;[M]A;[S]A;[S]R;[S]C;,3
INC0000384,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000385,[M]N;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,10
INC0000387,[L]N;[S]N;[M]A;[L]W;[L]W;[S]W;[L]W;[L]W;[S]R;[S]C;,9
INC0000388,[S]N;[L]N;[L]W;[L]W;[M]A;[S]A;[S]R;[S]C;,7
INC0000392,[S]N;[L]N;[M]A;[L]N;[S]A;[S]R;[S]C;,6
INC0000393,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000395,[L]N;[S]N;[L]N;[L]N;[L]W;[L]W;[L]W;[S]A;[L]A;[S]A;[S]R;[S]C;,12
INC0000396,[M]N;[L]A;[S]A;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,13
INC0000398,[M]N;[M]A;[S]A;[S]R;[S]C;,3
INC0000399,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000400,[M]N;[S]A;[S]A;[L]A;[L]A;[L]A;[L]A;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,13
INC0000401,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000403,[M]N;[S]A;[L]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]A;[L]W;[L]W;[L]W;[L]R;[L]R;[L]A;[L]A;[L]A;[S]A;[S]W;[L]A;[S]R;[S]C;,22
INC0000405,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000418,[S]N;[S]A;[L]A;[S]A;[S]W;[L]W;[L]A;[L]A;[S]R;[S]C;,10
INC0000419,[S]N;[L]N;[M]A;[S]A;[S]R;[S]C;,5
INC0000425,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000433,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]A;[S]R;[S]C;,8
INC0000434,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000439,[M]N;[S]A;[S]W;[S]R;[S]C;,4
INC0000440,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000441,[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]N;[L]N;[M]A;[L]N;[M]W;[S]R;[L]R;[L]R;[L]R;[L]R;[S]C;,18
INC0000455,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000458,[S]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]A;[L]W;[S]W;[L]W;[L]W;[S]R;[S]C;,13
INC0000464,[S]N;[L]N;[M]A;[S]A;[S]R;[S]C;,5
INC0000467,[L]N;[S]N;[L]N;[L]N;[L]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,11
INC0000468,[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,6
INC0000469,[S]N;[M]A;[S]W;[S]R;[S]C;,4
INC0000473,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000477,[S]N;[L]N;[S]A;[S]A;[L]W;[L]W;[S]W;[S]R;[S]C;,9
INC0000480,[L]N;[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]A;[S]R;[S]C;,13
INC0000486,[M]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,6
INC0000491,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000493,[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]A;[S]W;[L]W;[S]R;[S]C;,13
INC0000494,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000497,[S]N;[L]N;[L]N;[S]A;[S]A;[L]W;[S]W;[S]R;[S]C;,9
INC0000499,[S]N;[L]N;[S]A;[S]A;[S]W;[L]A;[S]R;[S]C;,8
INC0000500,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000503,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000504,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000505,[L]N;[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,7
INC0000508,[L]N;[S]N;[L]N;[S]A;[S]A;[L]W;[L]W;[S]W;[S]R;[S]C;,10
INC0000509,[S]N;[L]N;[L]N;[L]N;[M]A;[S]A;[S]R;[S]C;,7
INC0000510,[L]N;[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,7
INC0000511,[S]N;[L]N;[M]A;[S]A;[S]R;[S]C;,5
INC0000512,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000513,[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,5
INC0000516,[S]N;[S]A;[S]A;[S]R;[S]C;,5
INC0000517,[L]N;[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]A;[S]R;[S]C;,11
INC0000519,[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,6
INC0000520,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000521,[M]N;[S]A;[S]A;[S]R;[S]C;,4
INC0000524,[M]N;[S]A;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,13
INC0000525,[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]A;[S]A;[S]R;[S]C;,10
INC0000526,[M]N;[M]A;[S]A;[S]R;[S]C;,3
INC0000527,[L]N;[S]N;[M]A;[S]W;[S]R;[S]C;,5
INC0000528,[L]N;[S]N;[S]A;[S]A;[S]R;[S]C;,6
INC0000530,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000532,[L]N;[L]N;[S]N;[M]A;[S]W;[S]R;[S]C;,6
INC0000534,[L]N;[S]N;[L]N;[L]N;[S]A;[S]A;[S]R;[S]C;,8
INC0000535,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000536,[S]N;[L]N;[L]N;[L]N;[L]A;[S]A;[S]A;[S]W;[S]R;[S]C;,10
INC0000537,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000538,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000539,[L]N;[L]N;[S]N;[M]A;[S]W;[L]W;[S]R;[S]C;,7
INC0000540,[M]N;[M]A;[S]A;[S]R;[S]C;,3
INC0000541,[L]N;[L]N;[S]N;[L]N;[S]A;[L]W;[L]W;[S]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]R;[S]C;,25
INC0000543,[S]N;[S]A;[L]A;[L]A;[S]A;[S]W;[L]W;[S]R;[S]C;,9
INC0000544,[S]N;[L]W;[M]A;[S]A;[S]R;[S]C;,5
INC0000545,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000547,[L]N;[S]N;[L]N;[L]A;[S]A;[S]A;[S]R;[S]C;,8
INC0000548,[M]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,6
INC0000549,[S]N;[S]A;[L]W;[S]A;[S]R;[S]C;,6
INC0000550,[S]N;[L]N;[L]N;[M]A;[L]N;[L]N;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,12
INC0000552,[L]N;[S]N;[L]N;[L]N;[S]A;[L]A;[L]A;[L]A;[S]A;[S]R;[S]C;,11
INC0000553,[M]N;[S]A;[L]A;[L]A;[S]A;[L]A;[S]R;[S]C;,7
INC0000554,[S]N;[L]N;[M]A;[S]A;[S]R;[S]C;,5
INC0000557,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000558,[L]N;[S]N;[L]A;[L]A;[L]R;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[S]A;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[L]W;[S]W;[S]R;[S]C;,22
INC0000559,[S]N;[L]N;[L]N;[L]N;[L]N;[L]W;[L]W;[S]A;[S]A;[S]R;[S]C;,11
INC0000561,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]A;[S]R;[S]C;,8
INC0000564,[M]N;[L]A;[S]A;[S]A;[S]R;[S]C;,5
INC0000565,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000566,[M]N;[S]A;[S]W;[L]W;[S]R;[S]C;,5
INC0000568,[S]N;[S]A;[L]A;[S]A;[S]R;[S]C;,6
INC0000569,[S]N;[L]N;[S]A;[L]A;[S]A;[S]W;[S]R;[S]C;,8
INC0000570,[L]N;[S]N;[L]N;[L]A;[S]A;[S]A;[S]R;[S]C;,8
INC0000571,[S]N;[S]A;[L]A;[S]A;[S]R;[S]C;,6
INC0000572,[S]N;[L]N;[L]N;[S]A;[L]A;[L]A;[L]A;[L]A;[S]A;[S]W;[S]R;[S]C;,12
INC0000574,[S]N;[S]A;[S]A;[S]W;[L]A;[S]R;[S]C;,7
INC0000576,[S]N;[S]A;[L]A;[S]A;[S]R;[S]C;,6
INC0000577,[L]N;[S]N;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,13
INC0000579,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000582,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000583,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000587,[M]N;[M]A;[M]W;[S]R;[S]C;,2
INC0000588,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000590,[L]N;[L]N;[S]N;[S]A;[L]W;[L]W;[S]W;[L]W;[S]R;[S]C;,10
INC0000591,[S]N;[S]A;[L]A;[L]A;[L]A;[L]A;[L]A;[L]A;[S]A;[L]A;[L]A;[L]W;[L]W;[S]W;[S]R;[S]C;,16
INC0000592,[L]N;[S]N;[L]N;[L]N;[L]A;[S]A;[S]A;[L]A;[L]W;[S]W;[S]R;[S]C;,12
INC0000594,[M]N;[S]A;[L]A;[S]A;[S]W;[S]R;[S]C;,6
INC0000595,[L]N;[L]N;[S]N;[L]N;[L]N;[M]A;[S]W;[S]R;[L]R;[S]C;,9
INC0000596,[S]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,7
INC0000597,[L]N;[L]N;[S]N;[L]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,10
INC0000598,[L]N;[S]N;[M]A;[S]W;[L]W;[S]R;[S]C;,6
