incident_id,impact,urgency,priority,category,openTs,closeTs,reassignment,reopen,updates
INC0000111,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:14,7/3/2016 15:00,0,0,3
INC0000112,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 09:15,7/3/2016 16:00,2,0,5
INC0000113,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 09:18,7/3/2016 20:00,0,0,4
INC0000114,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:18,8/3/2016 02:00,1,0,9
INC0000115,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:20,6/3/2016 09:00,2,0,5
INC0000116,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 09:20,6/3/2016 13:00,1,0,3
INC0000119,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:22,6/3/2016 10:00,0,0,3
INC0000121,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:25,5/3/2016 17:00,0,0,2
INC0000122,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 09:27,6/3/2016 17:00,1,0,4
INC0000123,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:29,7/3/2016 15:00,0,0,3
INC0000124,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:30,5/3/2016 12:00,0,0,3
INC0000125,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:31,6/3/2016 09:00,1,0,6
INC0000126,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:31,7/3/2016 15:00,0,0,3
INC0000128,2 - Medium,2 - Medium,3 - Moderate,Category 44,29/2/2016 09:36,24/3/2016 18:50,2,0,10
INC0000129,2 - Medium,2 - Medium,3 - Moderate,Category 23,29/2/2016 09:40,27/3/2016 13:59,2,0,17
INC0000130,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 09:41,8/3/2016 11:00,1,0,5
INC0000131,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 09:41,8/3/2016 10:00,0,0,3
INC0000132,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:42,8/3/2016 16:00,2,0,5
INC0000134,3 - Low,3 - Low,4 - Low,Category 62,29/2/2016 09:44,8/3/2016 09:00,1,0,4
INC0000135,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:45,5/3/2016 17:00,0,0,7
INC0000137,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 09:48,5/3/2016 12:00,0,0,3
INC0000139,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:50,6/3/2016 10:00,1,0,6
INC0000140,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 09:51,8/3/2016 12:00,1,0,7
INC0000141,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:52,7/3/2016 15:00,0,0,4
INC0000146,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:57,7/3/2016 15:00,0,0,3
INC0000147,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:00,19/3/2016 10:00,1,0,9
INC0000148,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:00,7/3/2016 16:00,0,0,3
INC0000149,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:01,7/3/2016 16:00,0,0,3
INC0000152,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:08,8/3/2016 10:00,0,0,4
INC0000153,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:10,7/3/2016 15:00,0,0,3
INC0000155,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:12,7/3/2016 16:00,0,0,3
INC0000156,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:14,7/3/2016 16:00,0,0,3
INC0000158,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:17,7/3/2016 16:00,0,0,2
INC0000159,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 10:17,7/3/2016 11:00,1,0,6
INC0000160,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:18,5/3/2016 11:00,0,0,1
INC0000161,3 - Low,3 - Low,4 - Low,Category 37,29/2/2016 10:18,24/3/2016 18:40,2,0,11
INC0000164,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:18,8/3/2016 15:00,2,0,6
INC0000166,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 10:24,5/3/2016 17:00,0,0,3
INC0000167,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 10:27,5/3/2016 12:00,0,0,3
INC0000168,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 10:27,6/3/2016 10:00,0,0,2
INC0000169,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:30,7/3/2016 16:00,0,0,2
INC0000171,1 - High,2 - Medium,2 - High,Category 24,29/2/2016 10:33,24/3/2016 18:59,4,0,16
INC0000172,2 - Medium,2 - Medium,3 - Moderate,Category 23,29/2/2016 10:36,5/3/2016 19:00,1,0,9
INC0000173,3 - Low,2 - Medium,4 - Low,Category 55,29/2/2016 10:36,16/4/2016 15:07,1,0,21
INC0000174,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 10:39,2/3/2016 13:02,1,0,9
INC0000176,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:40,7/3/2016 16:00,0,0,2
INC0000178,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 10:45,5/3/2016 12:00,0,0,3
INC0000179,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 10:46,7/3/2016 10:00,0,0,2
INC0000192,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 10:58,5/3/2016 12:00,0,0,2
INC0000193,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 10:59,6/3/2016 17:00,1,0,5
INC0000194,2 - Medium,2 - Medium,3 - Moderate,Category 42,29/2/2016 10:59,5/3/2016 12:00,0,0,2
INC0000195,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 11:00,7/3/2016 16:00,0,0,3
INC0000197,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 11:02,5/4/2016 11:59,7,0,34
INC0000199,3 - Low,3 - Low,4 - Low,Category 42,29/2/2016 11:06,5/3/2016 12:00,0,0,1
INC0000204,3 - Low,3 - Low,4 - Low,Category 53,29/2/2016 11:13,5/3/2016 17:00,0,0,3
INC0000207,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 11:19,5/3/2016 21:00,0,0,4
INC0000211,2 - Medium,2 - Medium,3 - Moderate,Category 23,29/2/2016 11:23,8/3/2016 07:00,0,0,6
INC0000213,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 11:25,5/3/2016 13:00,0,0,3
INC0000217,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 11:48,24/3/2016 18:40,2,0,8
INC0000218,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 11:53,5/3/2016 14:00,1,0,7
INC0000220,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 11:56,17/3/2016 16:27,1,0,8
INC0000221,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 11:58,7/3/2016 15:00,1,0,4
INC0000223,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 12:01,8/3/2016 09:00,1,0,10
INC0000228,2 - Medium,2 - Medium,3 - Moderate,Category 26,29/2/2016 12:11,5/3/2016 17:00,0,0,3
INC0000230,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 12:14,24/3/2016 18:40,1,0,10
INC0000232,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 12:20,24/3/2016 18:50,1,0,13
INC0000236,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 12:26,5/3/2016 14:00,0,0,3
INC0000237,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 12:27,6/3/2016 15:00,0,0,3
INC0000246,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 12:41,9/3/2016 12:00,1,0,9
INC0000250,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 12:43,24/3/2016 18:50,4,0,17
INC0000253,2 - Medium,2 - Medium,3 - Moderate,Category 26,29/2/2016 12:43,7/3/2016 10:00,1,0,6
INC0000257,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 12:48,5/3/2016 23:00,0,0,3
INC0000259,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 12:50,7/3/2016 11:00,1,0,9
INC0000260,2 - Medium,2 - Medium,3 - Moderate,Category 17,29/2/2016 12:52,8/3/2016 16:00,0,0,3
INC0000261,1 - High,1 - High,1 - Critical,Category 42,29/2/2016 12:54,29/2/2016 17:47,0,0,7
INC0000262,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 12:59,7/3/2016 10:00,1,0,7
INC0000265,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 13:14,7/3/2016 16:00,4,0,9
INC0000266,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 13:18,9/3/2016 17:00,1,0,11
INC0000268,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 13:24,24/3/2016 18:40,1,0,17
INC0000269,2 - Medium,2 - Medium,3 - Moderate,Category 26,29/2/2016 13:30,5/3/2016 14:00,0,0,1
INC0000272,3 - Low,2 - Medium,4 - Low,Category 42,29/2/2016 13:36,24/3/2016 18:40,4,0,12
INC0000273,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 13:36,9/3/2016 15:00,1,0,5
INC0000278,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 13:48,5/3/2016 15:00,0,0,5
INC0000279,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 13:50,7/3/2016 02:00,0,0,3
INC0000280,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 13:50,24/3/2016 18:40,5,0,12
INC0000282,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 13:52,8/3/2016 13:00,0,0,3
INC0000283,2 - Medium,2 - Medium,3 - Moderate,Category 42,29/2/2016 13:54,6/3/2016 10:00,1,0,10
INC0000284,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 13:55,7/3/2016 12:00,0,0,5
INC0000285,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 13:56,7/3/2016 01:00,0,0,5
INC0000286,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 13:56,8/3/2016 17:00,1,0,6
INC0000290,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 13:59,5/3/2016 15:00,0,0,1
INC0000292,3 - Low,3 - Low,4 - Low,Category 20,29/2/2016 14:04,7/3/2016 10:00,3,0,10
INC0000294,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 14:06,24/3/2016 18:50,1,1,26
INC0000295,2 - Medium,2 - Medium,3 - Moderate,Category 13,29/2/2016 14:09,9/3/2016 10:00,0,0,4
INC0000297,2 - Medium,2 - Medium,3 - Moderate,Category 13,29/2/2016 14:15,9/3/2016 10:00,0,0,5
INC0000298,3 - Low,3 - Low,4 - Low,Category 53,29/2/2016 14:16,30/11/2016 08:10,0,0,93
INC0000301,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 14:22,6/3/2016 12:00,1,0,6
INC0000302,2 - Medium,2 - Medium,3 - Moderate,Category 35,29/2/2016 14:23,27/3/2016 12:59,2,0,14
INC0000303,3 - Low,3 - Low,4 - Low,Category 53,29/2/2016 14:23,24/3/2016 18:50,0,0,10
INC0000304,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 14:25,8/3/2016 16:00,0,0,5
INC0000305,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 14:28,9/3/2016 15:00,1,0,10
INC0000306,2 - Medium,2 - Medium,3 - Moderate,Category 23,29/2/2016 14:28,7/3/2016 17:00,0,0,3
INC0000307,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 14:30,24/12/2016 15:00,0,0,102
INC0000310,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 14:33,6/3/2016 14:00,0,0,4
INC0000315,2 - Medium,2 - Medium,3 - Moderate,Category 23,29/2/2016 14:37,24/3/2016 18:40,1,0,6
INC0000317,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 14:40,30/4/2016 17:07,0,0,23
INC0000318,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 14:43,2/4/2016 13:59,0,0,16
INC0000319,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 14:44,7/3/2016 16:00,1,0,4
INC0000323,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 14:45,5/3/2016 15:00,0,0,1
INC0000324,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 14:47,21/6/2016 10:00,0,0,45
INC0000325,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 14:49,24/3/2016 18:59,0,0,11
INC0000329,2 - Medium,2 - Medium,3 - Moderate,Category 42,29/2/2016 14:50,24/3/2016 18:59,4,0,18
INC0000330,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 14:52,24/3/2016 18:59,0,0,11
INC0000332,2 - Medium,2 - Medium,3 - Moderate,Category 26,29/2/2016 14:53,24/3/2016 18:40,5,0,20
INC0000333,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 14:56,4/5/2016 10:07,0,0,22
INC0000336,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 15:03,24/3/2016 18:50,0,0,7
INC0000337,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 15:07,4/6/2016 13:07,0,0,33
INC0000338,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 15:10,10/4/2016 14:59,0,0,16
INC0000339,2 - Medium,2 - Medium,3 - Moderate,Category 26,29/2/2016 15:12,5/3/2016 17:00,0,0,2
INC0000341,1 - High,1 - High,1 - Critical,Category 45,29/2/2016 15:13,7/8/2016 15:00,0,0,62
INC0000343,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 15:14,27/12/2016 10:00,0,0,106
INC0000345,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 15:17,6/3/2016 17:00,2,0,8
INC0000346,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 15:17,4/5/2016 10:07,0,0,24
INC0000347,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 15:21,8/3/2016 10:00,0,0,4
INC0000348,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 15:22,23/4/2016 10:07,0,0,22
INC0000351,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 15:24,26/3/2016 16:59,0,0,11
INC0000352,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 15:27,5/3/2016 17:00,0,0,1
INC0000353,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 15:27,5/3/2016 16:00,0,0,1
INC0000355,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 15:30,8/3/2016 12:00,0,0,4
INC0000356,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 15:32,24/3/2016 18:40,3,0,10
INC0000357,2 - Medium,2 - Medium,3 - Moderate,Category 23,29/2/2016 15:34,7/3/2016 17:00,0,0,5
INC0000358,3 - Low,2 - Medium,4 - Low,?,29/2/2016 15:36,9/3/2016 16:27,0,0,4
INC0000359,2 - Medium,3 - Low,4 - Low,?,29/2/2016 15:37,17/7/2016 10:00,0,0,51
INC0000361,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 15:38,24/3/2016 18:40,1,0,8
INC0000363,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 15:45,2/4/2016 14:59,0,0,17
INC0000369,2 - Medium,2 - Medium,3 - Moderate,Category 43,29/2/2016 15:48,6/3/2016 10:00,0,0,2
INC0000370,1 - High,1 - High,1 - Critical,Category 37,29/2/2016 15:53,6/3/2016 09:00,0,0,5
INC0000371,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 15:53,3/4/2016 17:59,0,0,15
INC0000372,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 15:54,9/3/2016 08:00,0,0,4
INC0000373,3 - Low,3 - Low,4 - Low,Category 8,29/2/2016 15:55,24/3/2016 18:50,0,0,8
INC0000374,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 15:59,5/3/2016 17:00,0,0,3
INC0000375,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 16:09,24/5/2016 16:07,0,0,33
INC0000376,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 16:15,24/3/2016 18:40,1,0,5
INC0000377,3 - Low,2 - Medium,4 - Low,Category 26,29/2/2016 16:18,5/3/2016 17:00,0,0,3
INC0000378,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 16:23,6/4/2016 10:59,0,0,14
INC0000379,2 - Medium,2 - Medium,3 - Moderate,Category 8,29/2/2016 16:25,23/5/2016 11:07,0,0,3
INC0000384,2 - Medium,2 - Medium,3 - Moderate,Category 43,29/2/2016 16:30,8/3/2016 10:00,0,0,4
INC0000385,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 16:31,2/4/2016 09:59,0,0,16
INC0000387,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 16:38,24/3/2016 18:40,0,0,9
INC0000388,1 - High,1 - High,1 - Critical,Category 45,29/2/2016 16:43,27/3/2016 16:59,0,0,8
INC0000392,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 16:51,7/3/2016 12:00,0,0,5
INC0000393,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 16:54,6/3/2016 10:00,1,0,3
INC0000395,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 17:06,7/3/2016 18:00,2,0,11
INC0000396,2 - Medium,2 - Medium,3 - Moderate,Category 40,29/2/2016 17:11,24/3/2016 18:50,5,0,14
INC0000398,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 17:14,6/3/2016 10:00,0,0,2
INC0000399,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 17:27,5/3/2016 18:00,0,0,1
INC0000400,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 17:32,24/3/2016 18:59,1,0,14
INC0000401,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 17:38,6/3/2016 17:00,0,0,6
INC0000403,2 - Medium,2 - Medium,3 - Moderate,Category 40,29/2/2016 17:48,24/3/2016 18:40,1,1,25
INC0000405,2 - Medium,2 - Medium,3 - Moderate,Category 34,29/2/2016 17:53,8/3/2016 10:00,0,0,3
INC0000418,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 18:35,24/3/2016 18:59,0,0,13
INC0000419,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 18:36,28/3/2016 14:59,0,0,10
INC0000425,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 19:41,7/3/2016 23:00,0,0,2
INC0000433,1 - High,1 - High,1 - Critical,Category 19,29/2/2016 20:32,30/3/2016 23:59,0,0,9
INC0000434,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 21:00,5/3/2016 22:00,0,0,3
INC0000439,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 21:44,8/3/2016 10:00,0,0,5
INC0000440,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 21:54,6/3/2016 22:00,3,0,5
INC0000441,1 - High,1 - High,1 - Critical,Category 45,29/2/2016 22:20,20/3/2016 14:00,7,0,18
INC0000455,2 - Medium,2 - Medium,3 - Moderate,Category 40,29/2/2016 23:36,6/3/2016 00:00,0,0,3
INC0000458,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 23:53,24/3/2016 18:59,6,0,15
INC0000464,2 - Medium,2 - Medium,3 - Moderate,Category 37,1/3/2016 01:22,27/3/2016 15:59,1,0,10
INC0000467,2 - Medium,2 - Medium,3 - Moderate,Category 46,1/3/2016 01:31,18/4/2016 11:07,2,0,23
INC0000468,2 - Medium,2 - Medium,3 - Moderate,Category 53,1/3/2016 01:36,6/3/2016 10:00,0,0,5
INC0000469,2 - Medium,2 - Medium,3 - Moderate,Category 45,1/3/2016 01:42,7/3/2016 11:00,0,0,3
INC0000473,2 - Medium,2 - Medium,3 - Moderate,Category 37,1/3/2016 01:49,27/3/2016 15:59,0,0,9
INC0000477,2 - Medium,2 - Medium,3 - Moderate,Category 37,1/3/2016 02:30,7/3/2016 10:00,1,0,8
INC0000480,2 - Medium,2 - Medium,3 - Moderate,Category 63,1/3/2016 02:56,6/3/2016 10:00,1,0,12
INC0000486,2 - Medium,2 - Medium,3 - Moderate,Category 40,1/3/2016 03:57,6/3/2016 05:00,0,0,5
INC0000491,2 - Medium,2 - Medium,3 - Moderate,Category 45,1/3/2016 05:04,6/3/2016 06:00,0,0,3
INC0000493,2 - Medium,2 - Medium,3 - Moderate,Category 9,1/3/2016 06:05,24/3/2016 18:59,5,0,15
INC0000494,2 - Medium,2 - Medium,3 - Moderate,Category 55,1/3/2016 07:09,8/3/2016 11:00,1,0,7
INC0000497,2 - Medium,2 - Medium,3 - Moderate,Category 23,1/3/2016 07:42,9/3/2016 18:00,1,0,9
INC0000499,2 - Medium,2 - Medium,3 - Moderate,Category 53,1/3/2016 07:55,6/3/2016 10:00,0,0,7
INC0000500,1 - High,2 - Medium,2 - High,Category 13,1/3/2016 07:56,7/3/2016 10:00,0,0,5
INC0000503,2 - Medium,2 - Medium,3 - Moderate,Category 53,1/3/2016 08:00,7/3/2016 18:00,2,0,5
INC0000504,2 - Medium,2 - Medium,3 - Moderate,Category 32,1/3/2016 08:02,7/3/2016 17:00,2,0,6
INC0000505,2 - Medium,2 - Medium,3 - Moderate,Category 55,1/3/2016 08:10,8/3/2016 11:00,1,0,6
INC0000508,1 - High,2 - Medium,2 - High,Category 51,1/3/2016 08:18,24/3/2016 18:59,0,0,13
INC0000509,2 - Medium,2 - Medium,3 - Moderate,Category 53,1/3/2016 08:21,8/3/2016 18:00,1,0,6
INC0000510,2 - Medium,2 - Medium,3 - Moderate,Category 43,1/3/2016 08:27,8/3/2016 18:00,1,0,6
INC0000511,3 - Low,3 - Low,4 - Low,Category 37,1/3/2016 08:28,27/3/2016 15:59,1,0,10
INC0000512,2 - Medium,2 - Medium,3 - Moderate,Category 53,1/3/2016 08:29,8/3/2016 10:00,1,0,3
INC0000513,2 - Medium,2 - Medium,3 - Moderate,Category 32,1/3/2016 08:30,8/3/2016 16:00,0,0,4
INC0000516,2 - Medium,2 - Medium,3 - Moderate,Category 45,1/3/2016 08:35,6/3/2016 11:00,0,0,4
